ticker,shortName,sector,industry,lastPrice,rank_overall,rank_raw,score_FINAL_adj,score_FINAL,rating,data_completeness_pct,metrics_with_data,metrics_total,score_valuation,score_profitability,score_growth,score_financial_health,score_trailingPE,score_forwardPE,score_trailingPegRatio,score_priceToBook,score_priceToSalesTrailing12Months,score_enterpriseToEbitda,score_returnOnEquity,score_returnOnAssets,score_profitMargins,score_grossMargins,score_operatingMargins,score_ebitdaMargins,score_revenueGrowth,score_earningsGrowth,score_earningsQuarterlyGrowth,score_debtToEquity,score_currentRatio,score_quickRatio,score_freeCashflow
CCL,Carnival Corporation,Consumer Cyclical,Travel Services,27.809999465942383,236,206,4.97,5.22,⚠️ Débil,84.2,16,19,8.16,5.7,3.54,2.31,9.23,8.21,8.79,5.53,8.02,8.8,7.68,5.63,4.06,6.95,2.0,6.05,4.07,4.79,1.45,1.29,0.22,0.45,7.1
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,197.50999450683594,236,285,4.97,4.97,⚠️ Débil,100.0,19,19,5.87,4.08,5.63,3.92,6.24,4.6,6.13,5.35,6.99,6.28,4.49,6.15,3.1,2.93,3.07,3.59,4.59,6.09,6.32,3.7,3.23,5.57,3.55
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,563.4550170898438,236,229,4.97,5.13,⚠️ Débil,89.5,17,19,3.22,8.57,4.56,4.41,2.22,1.64,4.19,9.61,0.39,1.1,5.36,9.64,9.79,9.53,9.79,9.38,6.82,3.5,3.14,5.6,2.22,5.7,4.15
FOXA,Fox Corporation,Communication Services,Entertainment,59.97999954223633,239,286,4.96,4.96,⚠️ Débil,100.0,19,19,6.27,4.88,1.44,7.47,8.65,7.63,0.19,6.37,7.78,8.58,5.69,7.56,4.01,3.21,2.48,4.1,2.07,1.11,1.07,5.88,9.13,9.45,6.14
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,85.43000030517578,240,288,4.95,4.95,⚠️ Débil,100.0,19,19,6.39,4.4,6.13,2.01,8.15,6.69,3.38,6.28,7.66,6.58,5.44,5.66,3.51,2.54,4.02,4.22,9.37,3.72,5.15,2.04,1.27,2.25,2.54
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,533.5900268554688,241,289,4.94,4.94,⚠️ Débil,100.0,19,19,5.15,5.94,4.44,4.02,6.6,5.38,3.94,1.93,7.21,5.91,9.05,9.14,3.29,4.56,2.62,2.45,7.21,3.07,2.81,4.32,6.54,1.36,3.27
MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans,145.3551025390625,242,237,4.93,5.09,⚠️ Débil,89.5,17,19,7.64,1.61,5.64,4.91,8.02,5.42,6.92,7.36,9.83,9.87,3.23,2.22,0.75,0.71,0.28,0.77,4.59,6.38,5.99,3.38,7.5,8.8,1.03
CMCSA,Comcast Corporation,Communication Services,Telecom Services,27.825000762939453,242,290,4.93,4.93,⚠️ Débil,100.0,19,19,7.57,6.03,1.09,4.4,9.98,9.55,0.02,9.08,8.82,9.74,6.64,4.15,6.58,8.75,2.3,6.79,1.88,0.68,0.64,3.07,2.17,3.76,8.77
KKR,KKR & Co. Inc.,Financial Services,Asset Management,92.94000244140625,244,240,4.92,5.08,⚠️ Débil,89.5,17,19,6.02,3.32,6.0,4.73,1.63,7.55,9.57,5.57,4.45,7.67,2.19,0.92,3.23,7.12,8.43,0.36,9.89,3.56,4.3,5.81,1.97,5.55,5.54
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,32.58000183105469,244,291,4.92,4.92,⚠️ Débil,100.0,19,19,3.67,5.31,8.32,2.04,5.64,2.43,0.99,6.43,3.27,4.0,2.75,3.4,6.97,6.19,7.91,8.3,7.61,8.71,8.71,3.35,1.03,1.82,1.64
TDY,Teledyne Technologies Incorpora,Technology,Scientific & Technical Instruments,657.5900268554688,244,281,4.92,5.0,⚠️ Débil,94.7,18,19,2.57,4.51,7.34,6.33,2.39,1.66,1.57,5.59,2.75,1.94,2.34,4.37,6.15,4.5,5.91,5.53,5.45,8.32,8.41,8.67,7.35,6.41,2.43
ROP,"Roper Technologies, Inc.",Technology,Software - Application,361.57000732421875,247,292,4.91,4.91,⚠️ Débil,100.0,19,19,5.25,5.53,4.2,4.51,4.69,5.87,6.11,7.18,2.77,4.26,1.98,3.53,7.48,8.45,7.64,8.06,6.55,2.85,3.02,7.42,0.67,1.85,6.99
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,389.9750061035156,247,292,4.91,4.91,⚠️ Débil,100.0,19,19,1.98,5.86,8.44,3.7,1.33,1.07,3.88,1.31,2.71,1.27,7.2,7.48,4.11,6.06,4.21,4.19,7.25,9.1,9.05,3.4,4.5,3.25,3.63
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,688.4400024414062,249,294,4.9,4.9,⚠️ Débil,100.0,19,19,3.46,4.77,6.54,5.18,5.72,2.32,0.56,2.79,6.45,3.55,7.53,6.43,3.5,1.53,3.91,2.77,6.5,6.57,6.54,3.1,4.06,6.58,7.69
